Plate ID	Hour	Min	Second	Travel Orientation	LaneID
JGK47077	7	20	43	1	2
JMC3336	7	20	43	1	3
JR7521E	7	20	45	1	2
JR3B296	7	20	46	3	2
JRW9670	7	20	47	1	2
JGKQ6882	7	20	48	3	3
JGN0Q011	7	20	50	1	2
JRVF851	7	20	51	1	2
JRXM134	7	20	51	1	3
JRT8713	7	20	52	1	3
JR8610T	7	20	52	1	2
JJBA129	7	20	55	1	2
JB36L21	7	20	56	1	2
wp	7	20	57	3	3
wp	7	20	59	1	3
JRWZ661	7	21	2	2	1
JRV0713	7	21	4	3	2
wp	7	21	10	1	3
wp	7	21	12	1	2
JR7553N	7	21	16	3	3
JRPA677	7	21	21	3	2
wp	7	21	34	1	3
JR93E11	7	21	37	1	3
JR22081	7	21	46	4	2
JRE3828	7	21	47	4	1
JGN5GU88	7	21	49	2	2
JR99D22	7	21	49	4	2
JR65R02	7	21	49	4	3
wp	7	21	49	2	3
JR50862	7	21	51	2	1
JR9512C	7	21	52	4	3
JP36391	7	21	52	4	1
JGNJ4729	7	21	52	4	2
JRPL058	7	21	52	2	2
wp	7	21	52	1	1
wp	7	21	52	2	3
JR5H161	7	21	54	4	2
JRUY591	7	21	55	4	3
JRT8311	7	21	55	2	2
JGNE0299	7	21	55	2	3
JR28222	7	21	56	4	1
JRWA755	7	21	56	2	1
JRC7399	7	21	58	4	3
wp	7	21	58	1	2
JGGUV110	7	22	0	4	2
JR03B11	7	22	0	4	3
JR7F444	7	22	0	1	3
JRYJ208	7	22	2	4	3
wp	7	22	4	4	3
JRQX127	7	22	5	2	1
JR55931	7	22	6	4	3
JRTA272	7	22	7	4	3
JR91H79	7	22	10	4	2
JR7896C	7	22	11	4	3
JRYX555	7	22	12	4	1
JR05501	7	22	13	4	3
JGJL3058	7	22	15	4	2
JGNCH575	7	22	16	4	1
JREE560	7	22	18	4	3
JRQQ508	7	22	19	4	1
JRT2920	7	22	19	4	2
JRML292	7	22	24	4	1
JR0B690	7	22	26	4	1
JR92G53	7	22	27	2	1
JGGWV017	7	22	31	2	1
JRWD739	7	22	33	2	1
JR8J030	7	22	35	3	1
JRLW508	7	22	36	4	1
JR35182	7	22	38	3	2
wp	7	22	38	1	2
JRTA789	7	22	39	3	3
JR5586Z	7	22	39	3	1
JAP216N	7	22	40	1	3
JRZM379	7	22	41	3	2
JGN39Z58	7	22	42	3	3
JFW7111	7	22	43	1	3
JAD5406	7	22	43	1	2
JR25C23	7	22	44	3	2
JGPF1S77	7	22	45	2	1
JRHS997	7	22	46	1	3
wp	7	22	47	1	1
JRXR903	7	22	48	1	2
JFZP971	7	22	48	3	2
wp	7	22	49	1	3
JRQF079	7	22	50	1	2
JRZW701	7	22	51	1	3
wp	7	22	51	1	1
ZDFA781	7	22	53	1	2
JRY2161	7	22	53	1	3
JGGDR188	7	22	54	3	1
JGYL6038	7	22	55	1	2
JKWU406	7	22	56	1	3
wp	7	22	56	1	1
JRRD867	7	22	58	1	2
SM33H44	7	22	59	1	3
JRRH738	7	23	0	1	2
JR65T82	7	23	2	1	2
JGYY7800	7	23	5	1	2
JR5Y677	7	23	7	1	3
JRYG120	7	23	8	1	2
JR97397	7	23	9	1	3
JRQ6F62	7	23	10	1	2
JRMF926	7	23	11	2	3
wp	7	23	11	1	2
JR00240	7	23	12	2	2
JRT2208	7	23	14	1	2
wp	7	23	15	1	3
JRPX506	7	23	16	3	2
JRLE598	7	23	17	1	3
JRVR070	7	23	23	1	3
JR57N77	7	23	23	1	2
wp	7	23	29	3	3
JR7767R	7	23	33	1	2
JNMYD216	7	23	36	3	3
JR92872	7	23	48	2	1
JRGB866	7	23	49	4	1
JRMK018	7	23	49	2	3
JGN9TW76	7	23	49	2	2
JR73G51	7	23	51	4	3
wp	7	23	52	1	3
JRZ3587	7	23	53	2	3
JRVL698	7	23	54	3	1
JGN169W0	7	23	56	4	3
wp	7	23	56	2	1
JGAC9388	7	23	56	4	2
JNNN6077	7	23	58	4	1
JR2M663	7	24	0	4	3
JRQU008	7	24	0	4	2
JRUG129	7	24	0	2	1
JR2M522	7	24	2	4	2
JR5221G	7	24	2	4	3
JR8F500	7	24	4	4	3
LBVV099	7	24	7	4	3
JR8Y526	7	24	8	4	2
JR96396	7	24	10	4	1
JR62N57	7	24	11	4	3
JRM4285	7	24	13	4	3
JR8760B	7	24	14	4	2
JRT8681	7	24	14	4	1
JRXB067	7	24	18	4	1
JNKZW969	7	24	18	4	3
wp	7	24	18	1	1
JR2H927	7	24	22	4	1
JR99A77	7	24	22	2	1
JR3D816	7	24	23	2	3
JRSK045	7	24	23	4	2
JR0X617	7	24	24	4	1
JR78545	7	24	26	4	3
JGNU4326	7	24	27	4	1
JR8C399	7	24	28	2	1
JRRY434	7	24	31	2	1
JRLD180	7	24	34	2	2
JR8390M	7	24	37	3	2
JGQB9M90	7	24	39	3	3
JRQX723	7	24	40	3	2
JGNWA231	7	24	41	1	2
JR70080	7	24	42	1	3
wp	7	24	42	3	3
JR05K39	7	24	43	1	2
JR2Q661	7	24	45	1	3
JGYN3518	7	24	45	3	2
JR5521J	7	24	46	3	3
JR59N93	7	24	47	3	2
JRUW202	7	24	47	4	1
MRRQ069	7	24	47	1	3
wp	7	24	48	1	2
wp	7	24	49	3	2
JRLP109	7	24	51	1	2
JR6369C	7	24	51	1	3
JGNUV796	7	24	52	1	2
JN75169	7	24	54	1	3
JRZ7501	7	24	54	1	2
wp	7	24	54	3	2
JGQE9S89	7	24	56	1	2
JRX7912	7	24	56	1	3
JR3R0B2	7	24	58	1	2
JR5U659	7	24	59	1	2
JRJL692	7	24	59	1	3
JGP67D33	7	24	59	3	3
JGN03S69	7	25	1	1	2
JRA3998	7	25	1	3	2
JGNW2729	7	25	1	1	3
JRRD327	7	25	3	1	3
JR2D337	7	25	5	3	1
JPF8N25	7	25	5	1	3
JRPQ193	7	25	5	3	2
JGQ891F8	7	25	5	1	2
JR80K17	7	25	8	3	3
JRNN736	7	25	10	1	2
JGN1TA88	7	25	15	2	1
JR61T70	7	25	15	3	2
wp	7	25	18	3	3
JRTA733	7	25	30	3	3
JR2697C	7	25	36	3	1
wp	7	25	37	1	1
JR82431	7	25	41	3	1
wp	7	25	44	1	3
JGM25617	7	25	45	1	1
JRSG909	7	25	47	3	1
JRRH118	7	25	48	2	2
JRU4878	7	25	50	2	3
JR75G09	7	25	50	4	2
JR62506	7	25	50	2	1
JRCW884	7	25	52	4	2
JRKW652	7	25	52	2	2
wp	7	25	52	4	3
SM5A475	7	25	53	2	3
JR7A676	7	25	55	2	2
JR79999	7	25	55	4	3
JRVK832	7	25	55	4	2
JR63729	7	25	56	2	1
JGH16679	7	25	57	2	3
wp	7	25	57	4	2
wp	7	25	57	4	3
JRT8923	7	25	58	4	3
JRXD883	7	25	59	2	3
JGP6GF29	7	26	1	4	3
JD81K98	7	26	1	2	3
YE6765X	7	26	2	4	3
JR5J709	7	26	2	2	2
wp	7	26	2	1	2
JA92918	7	26	3	4	2
wp	7	26	4	2	3
JR5136Z	7	26	7	4	3
JRAN625	7	26	9	3	3
JGPSE112	7	26	9	4	1
JRT2238	7	26	9	4	3
JR89H96	7	26	11	4	2
JR6959P	7	26	12	2	2
JA961SH	7	26	13	4	3
JR2672K	7	26	14	4	2
JRAN666	7	26	15	4	3
JRHR861	7	26	16	4	2
JR81835	7	26	16	4	1
JRL0401	7	26	17	4	2
JRCR539	7	26	18	4	3
JRT2997	7	26	20	4	2
JR7E830	7	26	21	2	3
JR9Q595	7	26	23	4	1
JR70H66	7	26	28	4	1
JR45396	7	26	37	4	1
JR81262	7	26	38	1	2
JGPY6111	7	26	39	3	2
JRAM330	7	26	41	3	2
JRUY629	7	26	41	3	3
JRN0909	7	26	41	1	2
JRYZ209	7	26	42	3	1
JR69988	7	26	42	1	3
JRNM276	7	26	44	2	1
JRM6639	7	26	44	3	2
JNLW1762	7	26	45	1	3
JRMM168	7	26	45	1	2
JR5Z216	7	26	47	3	2
JRVQ776	7	26	47	1	2
JRQ9008	7	26	47	1	1
JRYR106	7	26	47	1	3
JR55N27	7	26	51	1	2
JRTA022	7	26	51	3	2
JRD9C07	7	26	53	3	2
JR2W097	7	26	53	1	2
JPGS007	7	26	53	1	1
JR0361L	7	26	55	1	2
JRNN198	7	26	56	1	2
JR69975	7	26	58	3	3
JRQU656	7	26	58	1	2
JGNFN812	7	26	59	1	2
JF1D538	7	27	1	1	1
JRAG273	7	27	2	1	2
JR0711L	7	27	3	1	3
JGP35D27	7	27	5	1	2
JRT8398	7	27	6	1	2
JRV5980	7	27	7	1	2
wp	7	27	7	1	3
JGP5S633	7	27	9	1	2
JR85215	7	27	11	1	3
